,Iteration,Reward,Algorithm
140,140,0.0007452399999996829,merge_sort
141,141,0.0007314359999993769,merge_sort
142,142,0.0007315240000008316,merge_sort
143,143,0.000737767999999761,merge_sort
144,144,0.0007343680000003872,merge_sort
145,145,0.0007487320000001318,merge_sort
146,146,0.0007333679999999277,merge_sort
147,147,0.0007345680000005927,merge_sort
148,148,0.000737716000000006,merge_sort
149,149,0.0008820740000001592,merge_sort
150,150,0.000731665999999791,merge_sort
151,151,0.0007311579999999651,merge_sort
152,152,0.0007314459999994937,merge_sort
153,153,0.0007343360000004396,merge_sort
154,154,0.0007352099999995687,merge_sort
155,155,0.0007327299999997194,merge_sort
156,156,0.000739849999999933,merge_sort
157,157,0.0007322179999994205,merge_sort
158,158,0.0007330280000000755,merge_sort
159,159,0.0008811820000005355,merge_sort
